Model,Colour,Memory,RAM,Battery_,Rear Camera [MP],Front Camera [MP],AI Lens,Mobile Height,Processor_,Prize
51,143,128,8,5000,50,16,0,16.76,79,21499
143,138,64,4,5000,50,8,0,16.76,50,14999
100,103,256,8,4980,200,16,0,16.94,44,29999
169,147,128,8,5000,50,16,0,16.36,75,17999
169,102,128,8,5000,50,16,0,16.36,75,17999
169,236,128,6,5000,50,16,0,16.36,75,15999
169,147,128,4,5000,50,16,0,16.36,75,14499
169,102,128,6,5000,50,16,0,16.36,75,15999
51,271,128,8,5000,50,16,0,16.76,79,21499
46,23,128,6,5000,50,13,0,16.26,59,12999
100,166,256,8,4980,200,16,0,16.94,44,29999
165,150,32,3,5000,8,5,0,16.51,119,7115
40,15,64,2,5000,13,5,0,16.51,114,6799
99,88,128,6,5000,50,16,0,16.94,44,23999
169,236,128,4,5000,50,16,0,16.36,75,14499
117,181,128,8,4500,50,10,0,16.76,88,49999
29,179,128,8,5000,50,16,0,17.22,52,15999
82,273,256,8,5000,108,16,0,16.94,84,23999
176,163,128,8,4600,50,50,0,17.22,48,32999
158,226,64,4,5000,50,16,0,16.76,62,12999
11,75,64,4,6000,13,8,1,17.32,31,8499
11,15,64,4,6000,13,8,1,17.32,31,8499
11,125,64,4,6000,13,8,1,17.32,31,8499
11,195,64,4,6000,13,8,1,17.32,31,8499
158,226,128,6,5000,50,16,0,16.76,62,12999
81,253,256,8,5000,48,13,0,16.94,77,17999
48,38,128,6,5000,50,16,0,16.76,75,13999
169,236,128,8,5000,50,16,0,16.36,75,17999
169,147,128,6,5000,50,16,0,16.36,75,15999
158,225,128,6,5000,50,16,0,16.76,62,12999
58,29,64,3,5000,8,5,0,16.66,65,9499
99,228,128,8,5000,50,16,0,16.94,44,25999
176,129,128,8,4600,50,50,0,17.22,48,32999
146,268,128,4,6000,13,8,0,16.51,39,10999
29,45,128,8,5000,50,16,0,17.22,52,15999
73,219,256,8,5000,64,16,0,16.94,80,29999
166,128,16,2,5000,13,5,0,15.46,68,4999
166,128,16,8,1200,2,0,0,6.1,24,3549
168,128,16,4,1000,0,0,0,4.5,26,1699
167,128,16,4,1000,0,0,0,4.57,106,920
167,128,16,4,1000,0,0,0,4.57,106,920
83,145,128,6,6000,50,5,0,17.02,75,10999
56,114,64,4,5000,50,5,0,16.66,57,11970
128,114,64,4,1500,0,0,0,6.1,66,1199
97,248,128,6,5000,50,13,0,16.94,103,16999
86,183,128,6,5000,50,8,0,16.71,22,11999
99,168,128,8,5000,50,16,0,16.94,44,25999
53,213,32,3,5000,8,5,0,16.56,115,5999
100,7,256,8,4980,200,16,0,16.94,44,29999
97,126,128,6,5000,50,13,0,16.94,103,16999
56,245,64,4,5000,50,5,0,16.66,57,12499
56,145,64,4,5000,50,5,0,16.66,57,12499
82,273,128,6,5000,108,16,0,16.94,84,21999
141,15,256,8,4500,50,16,0,16.26,52,21999
141,145,256,8,4500,50,16,0,16.26,52,21999
86,183,64,4,5000,50,8,0,16.71,22,9999
99,88,256,8,5000,50,16,0,16.94,44,26999
99,168,128,6,5000,50,16,0,16.94,44,23999
97,101,128,6,5000,50,13,0,16.94,103,16999
156,197,64,4,5000,48,16,0,16.51,41,13499
82,8,128,6,5000,108,16,0,16.94,84,21999
14,73,64,4,6000,50,8,1,17.32,67,8999
14,184,64,4,6000,50,8,1,17.32,67,8999
14,0,64,4,6000,50,8,1,17.32,67,8999
14,259,64,4,6000,50,8,1,17.32,67,8999
100,103,256,4,4980,200,16,0,16.94,44,32999
37,149,64,4,5000,50,16,0,16.64,75,10999
49,142,128,6,5000,108,16,0,16.64,63,16999
53,31,32,3,5000,8,5,0,16.56,115,5999
